event,year,level,category,author,title,url,video
2013-06-20,2013,Intermediate,Other,James Tauber,ApplePy: An Apple ][ emulator in Python,https://us.pycon.org/2013/schedule/presentation/134/,http://pyvideo.org/video/1710/applepy-an-apple-emulator-in-python
2013-06-20,2013,Intermediate,Other,Tavis Rudd,Using Python to Code by Voice,https://us.pycon.org/2013/schedule/presentation/43/,http://pyvideo.org/video/1735/using-python-to-code-by-voice
2013-06-20,2013,Intermediate,Databases/NoSQL,Craig Kerstiens,Going beyond the Django ORM limitations with Postgres,https://us.pycon.org/2013/schedule/presentation/119/,
2013-06-20,2013,Intermediate,Useful Libraries,Allen Short,Worry-Free Parsers with Parsley,https://us.pycon.org/2013/schedule/presentation/84/,http://pyvideo.org/video/1736/worry-free-parsers-with-parsley
2013-06-20,2013,Intermediate,"Core Python (Language, Stdlib)",Gavin M. Roy,Become a logging expert in 30 minutes,https://us.pycon.org/2013/schedule/presentation/69/,http://pyvideo.org/video/1737/become-a-logging-expert-in-30-minutes
2013-06-20,2013,Intermediate,Best Practices/Patterns,Alex Martelli,"""Good enough"" is good enough!",https://us.pycon.org/2013/schedule/presentation/64/,http://pyvideo.org/video/1738/good-enough-is-good-enough
2013-06-08,2013,Novice,Gaming,Guto Maia,PyNES: Python programming for Nintendo 8 bits.,https://us.pycon.org/2013/schedule/presentation/77/,http://pyvideo.org/video/1733/pynes-python-programming-for-nintendo-8-bits
2013-06-20,2013,Intermediate,Best Practices/Patterns,Ruchi Varshney,Internationalization and Localization Done Right,https://us.pycon.org/2013/schedule/presentation/85/,http://pyvideo.org/video/1746/internationalization-and-localization-done-right
2013-06-08,2013,Novice,Databases/NoSQL,Andy Dirnberger,A Crash Course in MongoDB,https://us.pycon.org/2013/schedule/presentation/73/,
2013-06-20,2013,Intermediate,Other,Taavi Burns,Server Log Analysis with Pandas,https://us.pycon.org/2013/schedule/presentation/33/,http://pyvideo.org/video/1745/server-log-analysis-with-pandas-0
2013-06-20,2013,Intermediate,Useful Libraries,Jonas Obrist,Purely Python Imaging with Pymaging,https://us.pycon.org/2013/schedule/presentation/137/,http://pyvideo.org/video/1750/purely-python-imaging-with-pymaging
2013-06-20,2013,Intermediate,"Core Python (Language, Stdlib)",Eric Snow,Namespaces in Python,https://us.pycon.org/2013/schedule/presentation/57/,http://pyvideo.org/video/1749/namespaces-in-python
2013-06-20,2013,Intermediate,Useful Libraries,Sean Zicari,"Use curses, don't swear",https://us.pycon.org/2013/schedule/presentation/91/,http://pyvideo.org/video/1748/use-curses-dont-swear
